"match_id","team_id","home_away","goals","xG"
81,82,"a",0,0.675723277032375
81,89,"h",0,0.627538770437241
82,71,"a",1,0.786229819059373
82,73,"h",0,0.876105513423681
83,72,"h",2,0.604225588031113
83,90,"a",2,0.558456405997276
84,75,"h",4,2.56803004816175
84,77,"a",2,1.46083428990096
85,78,"a",3,2.10975007154048
85,79,"h",1,1.13075449503958
86,80,"h",1,0.651187501847743
86,84,"a",2,3.12038981169462
87,74,"a",2,1.25290011242032
87,86,"h",2,1.54613570310175
88,81,"a",2,0.535961193963886
88,83,"h",0,1.3341025095433
89,85,"h",0,0.388441704213619
89,87,"a",1,0.329873396083713
90,76,"h",0,0.435238100588321
90,88,"a",3,1.98255258612335
91,71,"h",0,0.219118200242519
91,89,"a",1,0.660403881222009
92,72,"a",3,1.50111722107977
92,74,"h",0,1.0642455983907
93,77,"h",1,0.329128299839795
93,79,"a",3,1.73093041032553
94,84,"h",2,1.97423564642668
94,86,"a",0,0.11310850083828
95,82,"h",2,1.707374304533
95,85,"a",2,2.81251629628242
96,76,"a",0,0.684035997837781
96,90,"h",0,0.760847192257643
97,75,"a",2,2.08359837345779
97,81,"h",1,0.513490699231624
98,78,"h",1,0.991770498454571
98,83,"a",1,2.28459354769439
99,80,"a",0,0.48674849793315
99,88,"h",3,2.19642853550613
100,73,"a",0,0.460804598405957
100,87,"h",1,2.19556104578078
101,86,"a",0,0.438401311635971
101,89,"h",0,1.26549111865461
102,79,"h",1,3.1488750865683
102,85,"a",1,0.698227602988481
103,77,"h",1,0.571046195924283
103,84,"a",1,1.56892025470734
104,71,"a",0,0.765278296545148
104,78,"h",2,1.23806779459119
105,75,"h",1,0.837880106642842
105,82,"a",1,1.89437090046704
106,73,"a",4,2.85539758205414
106,81,"h",3,1.522450693883
107,76,"h",2,1.42621720582247
107,80,"a",3,2.06951153278351
108,72,"h",0,0.579337505623697
108,88,"a",2,1.58718548715115
109,74,"a",0,0.683589700609445
109,90,"h",0,1.27364696934819
110,83,"h",0,1.84160872269422
110,87,"a",0,1.29206129163504
111,83,"a",0,2.36002456769347
111,86,"h",0,0.0319693982601166
112,76,"a",1,0.88119398523122
112,85,"h",0,1.21848891489208
113,71,"h",2,2.27405561693013
113,77,"a",2,0.368847504258155
114,73,"h",1,0.328382100909949
114,75,"a",1,0.919096983969212
115,78,"a",2,2.21586825698614
115,80,"h",1,1.28674860112369
116,81,"a",3,0.976122505962848
116,87,"h",0,0.561736401170492
117,88,"h",2,1.52895202487707
117,90,"a",0,0.373113646171987
118,72,"a",0,0.694691605865955
118,82,"h",0,1.99917010217905
119,74,"h",3,3.29029223695398
119,79,"a",0,0.640247095376253
120,84,"h",2,0.97118440270424
120,89,"a",1,1.28089319914579
121,72,"h",3,1.18025628663599
121,80,"a",1,0.657779093831778
122,83,"h",2,4.65599802695214
122,85,"a",0,0.193822995759546
123,78,"h",0,0.743480047676712
123,88,"a",1,3.16709915269166
124,84,"a",0,0.503007389605046
124,90,"h",1,1.62363446876407
125,74,"a",0,1.0086594093591
125,76,"h",0,0.409142900258303
126,73,"a",1,0.389495206996798
126,79,"h",3,1.33288812451065
127,87,"a",1,1.02571611106396
127,89,"h",3,1.46206341218203
128,77,"h",0,1.04069580417126
128,82,"a",1,1.45615257695317
129,71,"a",2,0.953180088661611
129,75,"h",3,1.35052496939897
130,81,"h",2,1.94050452485681
130,86,"a",0,0.717725107911974
131,80,"h",1,2.06869961507618
131,83,"a",0,0.775312013924122
132,86,"h",1,1.15113826468587
132,90,"a",2,1.33960788138211
133,71,"h",0,0.876718385145068
133,76,"a",1,0.635082494467497
134,73,"h",2,0.644334902055561
134,77,"a",0,0.855748781003058
135,75,"a",2,1.2258202759549
135,85,"h",2,1.14717069081962
136,72,"a",0,1.78912098892033
136,84,"h",0,0.864867413416505
137,81,"a",2,0.995272574946284
137,88,"h",1,3.22947103716433
138,78,"a",0,0.546133900992572
138,82,"h",1,1.01572818960995
139,74,"h",2,2.03791667334735
139,89,"a",3,1.68840223550797
140,79,"a",1,0.556270479224622
140,87,"h",1,1.90587161108851
141,82,"h",4,2.33955899067223
141,88,"a",1,1.58257183339447
142,74,"h",2,1.56150969862938
142,84,"a",1,1.4255179297179
143,73,"a",1,0.878473199903965
143,85,"h",2,1.94483363069594
144,75,"h",2,1.38516494911164
144,83,"a",5,3.91082401573658
145,71,"a",2,0.892054317519069
145,87,"h",3,1.79019989445806
146,77,"a",0,0.896498988382518
146,89,"h",3,2.89709774032235
147,79,"a",2,1.38603067398071
147,81,"h",2,2.66865243483334
148,80,"a",2,1.30592439323664
148,86,"h",2,0.702109181322157
149,78,"a",1,2.33654802292585
149,90,"h",0,0.687431185506284
150,72,"a",3,2.30159214418382
150,76,"h",2,1.27757163811475
151,76,"a",0,0.255527798086404
151,78,"h",2,1.99258180893958
152,71,"h",0,0.847075397148728
152,85,"a",1,1.03499516192824
153,73,"h",1,1.5026720231399
153,90,"a",1,0.913290686905383
154,86,"a",1,0.98027978092432
154,88,"h",6,3.49859094247222
155,75,"a",2,3.02386543899775
155,79,"h",1,1.18073928356171
156,77,"h",2,1.08401146903634
156,81,"a",2,1.94422852713615
157,74,"a",3,1.58501810580492
157,80,"h",1,0.520173955708741
158,72,"h",1,1.20062895305455
158,87,"a",1,1.30844291672111
159,82,"a",2,1.18142400123179
159,84,"h",1,0.777976302430034
160,83,"h",3,2.17082336731255
160,89,"a",0,1.03953070193529
161,82,"h",0,0.590555706992745
161,87,"a",0,0.715892097912728
162,74,"h",2,1.55443990603089
162,75,"a",2,2.78732793778181
163,76,"h",1,2.07781525328755
163,77,"a",0,0.658473601564765
164,71,"a",0,0.795845614746213
164,80,"h",1,1.22874638624489
165,78,"h",1,1.08390662446618
165,81,"a",3,2.76387437060476
166,72,"h",0,0.653456991538406
166,89,"a",3,1.47853149846196
167,73,"a",1,0.173024801537394
167,88,"h",5,4.92036121338605
168,83,"a",3,2.69045414030552
168,90,"h",0,0.254791107028723
169,79,"a",2,1.35285882651806
169,86,"h",6,2.26094496250153
170,84,"h",0,0.485488183796406
170,85,"a",1,1.64893902465701
171,71,"h",1,1.09516050666571
171,84,"a",2,1.74352609645575
172,75,"h",1,1.33665864169598
172,78,"a",0,0.240008198656142
173,80,"a",1,1.13560120016336
173,81,"h",2,0.772840192541481
174,76,"a",1,1.45436407625675
174,79,"h",0,1.03419861570001
175,85,"h",0,0.848431935999542
175,90,"a",2,1.04874219931662
176,72,"a",1,0.373025104403496
176,83,"h",2,2.55810632836074
177,77,"h",3,2.4155790489167
177,86,"a",0,1.4174426747486
178,73,"h",1,0.492304492741823
178,82,"a",5,3.44090967439115
179,88,"a",0,0.310718095861376
179,89,"h",0,0.391753595322371
180,74,"a",1,1.56383666954934
180,87,"h",1,0.682821795344353
181,80,"h",1,0.735761784017087
181,87,"a",3,0.84137699007988
182,78,"h",0,0.939118910580873
182,89,"a",0,0.394405007362365
183,79,"a",1,1.17497332300991
183,88,"h",2,2.8355705216527
184,85,"a",0,1.38697003573179
184,86,"h",0,1.26074470579624
185,83,"a",3,2.18051119893789
185,84,"h",0,0.264441799372435
186,81,"a",0,0.605625707656145
186,90,"h",2,1.65178010985255
187,75,"a",3,2.22545391879975
187,76,"h",2,1.50447138771415
188,72,"h",5,2.34851494431496
188,77,"a",2,1.23342740163207
189,73,"a",0,0.716058170422911
189,74,"h",2,1.1596607118845
190,71,"a",1,0.327273345552385
190,82,"h",3,1.14504998736083
191,73,"h",0,1.00427228957415
191,86,"a",1,0.504409685730934
192,75,"h",2,1.56388918310404
192,90,"a",1,1.00945069268346
193,76,"a",0,0.594030616804957
193,89,"h",2,1.27790237218142
194,79,"h",1,1.19517033174634
194,84,"a",0,0.402284506708383
195,72,"a",1,1.08911589160562
195,81,"h",1,0.591057794168592
196,74,"a",1,1.80577315017581
196,77,"h",0,0.299103198572993
197,80,"a",0,1.02642249315977
197,85,"h",1,0.825417583808302
198,71,"h",0,0.182740798220038
198,88,"a",0,1.57797850295901
199,82,"a",1,0.90912850573659
199,83,"h",1,2.01766992174089
200,78,"a",2,0.86911179497838
200,87,"h",1,2.16018099337816
201,89,"a",1,1.30264199897647
201,90,"h",1,1.4707703217864
202,73,"a",2,1.5850931070745
202,84,"h",2,1.88880639150739
203,74,"h",0,0.709484495222568
203,85,"a",1,1.1949456371367
204,76,"h",1,0.332888007164001
204,83,"a",1,2.08955731242895
205,75,"a",3,3.38134426623582
205,86,"h",0,0.372387299314141
206,71,"a",0,0.322060700505972
206,72,"h",4,2.90000889450311
207,79,"a",0,0.202798202633858
207,80,"h",1,2.16486698761582
208,87,"a",3,2.61696974840016
208,88,"h",1,1.08612417988479
209,81,"a",1,0.828607613220811
209,82,"h",4,3.46897397376597
210,77,"a",1,1.31534761562944
210,78,"h",0,0.69618200417608
211,77,"h",2,0.863465895876289
211,85,"a",0,0.794639812782407
212,71,"h",2,1.50097721628845
212,90,"a",2,1.46132916212082
213,72,"a",3,0.729004502296448
213,73,"h",3,1.70275290124118
214,78,"h",5,1.6783561874181
214,86,"a",1,0.797338004224003
215,74,"a",1,1.26034319028258
215,88,"h",3,2.12330963090062
216,75,"h",1,0.876256412826478
216,89,"a",1,1.05612718313932
217,80,"a",0,0.283374905586243
217,82,"h",0,0.333494197577238
218,76,"a",0,0.915644083172083
218,81,"h",1,1.4193272665143
219,84,"a",0,0.36828269995749
219,87,"h",1,1.19358052499592
220,79,"h",1,1.01024608872831
220,83,"a",1,1.65699145197868
221,85,"h",2,2.07690462470054
221,88,"a",0,0.483752509579063
222,75,"a",3,2.20962187089026
222,84,"h",0,0.780602196231485
223,79,"a",0,0.310523699969054
223,90,"h",2,2.07199331931769
224,76,"h",1,1.48694862797856
224,82,"a",1,1.12875869870186
225,77,"a",0,1.52280560135841
225,83,"h",3,2.35732092149556
226,81,"a",0,1.10205709934235
226,89,"h",0,1.76486809086055
227,71,"a",1,1.05800393875688
227,74,"h",1,2.86050765030086
228,73,"a",1,1.30178329721093
228,80,"h",0,1.67081108503044
229,86,"h",1,0.646346092224121
229,87,"a",0,0.999042375013233
230,72,"h",1,1.69773718714714
230,78,"a",1,1.19049833156169
231,72,"a",1,2.43720048386603
231,79,"h",1,1.54832909815013
232,84,"a",1,0.963522095233202
232,88,"h",2,1.35517720878124
233,77,"h",0,0.879473534412682
233,90,"a",1,2.07510675676167
234,74,"a",0,0.890410093590618
234,78,"h",1,1.31820948049426
235,81,"h",0,1.13215949200094
235,85,"a",0,1.87558621168137
236,73,"h",2,1.05031981691718
236,89,"a",1,2.033092148602
237,71,"h",0,1.0088999606669
237,83,"a",2,1.68498350307345
238,76,"a",2,0.835885420441628
238,87,"h",2,2.12603091262281
239,82,"h",1,1.04200642183423
239,86,"a",2,1.55251510441303
240,75,"h",2,0.7088463017717
240,80,"a",1,2.26886648405343
241,73,"a",2,1.89257722720504
241,76,"h",1,0.698255376890301
242,74,"h",0,0.83384957164526
242,82,"a",2,1.47452670522034
243,78,"a",2,1.95860154181719
243,85,"h",1,2.41899664327502
244,77,"a",1,1.25166839547455
244,80,"h",3,3.02023431658745
245,72,"h",2,1.93538148701191
245,75,"a",3,2.02911515720189
246,79,"a",2,0.562545195221901
246,89,"h",1,1.01393679529428
247,71,"a",1,0.404373306781054
247,86,"h",1,1.28189328685403
248,87,"a",0,0.376313141547143
248,90,"h",3,1.99336431361735
249,81,"a",0,0.401988197118044
249,84,"h",0,0.979500204324722
250,83,"h",2,1.50108977407217
250,88,"a",1,0.770768601447344
251,85,"h",2,1.18350311741233
251,89,"a",0,1.28961038962007
252,76,"a",0,0.554582584649324
252,84,"h",1,1.32655909471214
253,79,"a",0,0.456644411198795
253,82,"h",3,2.41954032331705
254,71,"h",1,1.61325072497129
254,81,"a",1,0.853692099452019
255,73,"h",0,0.871395297348499
255,78,"a",0,0.406660709530115
256,80,"h",2,2.09356325492263
256,90,"a",1,1.67703979462385
257,75,"a",0,0.505167104303836
257,87,"h",1,1.37994748726487
258,77,"a",1,1.20744145847857
258,88,"h",4,3.55320716649294
259,72,"a",1,1.72157115489245
259,86,"h",0,1.3884247764945
260,74,"h",4,2.4302992746234
260,83,"a",0,0.833064693957567
261,76,"h",1,2.14264980237931
261,86,"a",0,0.456188794225454
262,82,"a",2,0.527246496640145
262,90,"h",1,1.13434357941151
263,71,"a",0,0.235873501747846
263,79,"h",2,1.10464463569224
264,78,"h",0,0.749486988410353
264,84,"a",0,0.169425001367927
265,72,"h",3,2.24720361456275
265,85,"a",4,1.58158919587731
266,73,"a",0,0.3437519967556
266,83,"h",2,3.15861501544714
267,80,"a",0,0.905142888426781
267,89,"h",0,1.35212716832757
268,74,"a",0,1.37547227740288
268,81,"h",2,1.95517322979867
269,75,"h",0,0.810377310961484
269,88,"a",0,1.67242176458239
270,77,"h",0,0.48155149910599
270,87,"a",1,1.81685972586274
271,81,"h",2,2.18022527638823
271,87,"a",0,1.92103710584342
272,76,"h",2,1.73231989145279
272,85,"a",1,0.917526069097221
273,83,"h",1,1.93025577999652
273,86,"a",0,1.15338592417538
274,73,"a",0,1.25992159172893
274,75,"h",0,2.29078760929406
275,84,"a",1,0.542907007038593
275,89,"h",2,1.74265786260366
276,74,"a",0,0.932294893078505
276,79,"h",1,1.5050845593214
277,71,"a",1,0.27955979667604
277,77,"h",2,0.761224512010812
278,88,"a",2,0.692053807899356
278,90,"h",1,0.9853670950979
279,78,"h",0,0.546498090028763
279,80,"a",3,2.37469729781151
280,72,"h",1,0.721603398211301
280,82,"a",1,0.7590696150437
281,86,"h",3,1.82236502319574
281,89,"a",3,2.36369561869652
282,71,"h",0,0.551972396671772
282,78,"a",0,0.547912992537022
283,73,"h",1,0.72954599186778
283,81,"a",3,1.18941130302846
284,74,"h",2,1.72239840961993
284,90,"a",0,0.115429501049221
285,79,"a",1,0.193728104233742
285,85,"h",2,1.24456397257745
286,77,"a",3,2.52506089024245
286,84,"h",2,1.06526491325349
287,76,"a",2,0.704262801446021
287,80,"h",1,1.38531630113721
288,72,"a",0,0.369548199698329
288,88,"h",0,1.44957141391933
289,83,"a",3,2.22912196069956
289,87,"h",3,1.16480491310358
290,75,"a",1,0.593397503718734
290,82,"h",0,1.24792829994112
